Name,RA(J2000),Decl(J2000),Morphology,T-type,BPT,E(B-V),g(total),u-g,M_g,cz,D_L
 Arp 256 N       ,     4.70898,  -10.36210,     SB(s)c       ,   4.5 ,  SF     ,   0.03 ,  14.32  ,   0.84 ,  -20.96 ,   8184 ,  114.3 
 Arp 256 S       ,     4.71200,  -10.37738,     SB(s)b       ,   3.0 ,  SF     ,   0.03 ,  14.36  ,   0.75 ,  -20.90 ,   8124 ,  113.4 
 NGC 0337        ,    14.95839,   -7.57628,     SBd          ,   7.0 ,  SF     ,   0.10 ,  11.83  ,   0.91 ,  -19.91 ,   1648 ,   22.4 
 CGCG 436-030    ,    20.01104,   14.36182,     Pec          ,   -   ,  SF     ,   0.06 ,  14.58  ,   1.00 ,  -20.98 ,   9353 ,  129.9 
 NGC 0474        ,    20.02789,    3.41554,     (R)SA(s)0    ,  -2.0 ,  -      ,   0.04 ,  11.78  ,   1.61 ,  -20.78 ,   2338 ,   32.8 
 NGC 0520        ,    21.14825,    3.79250,     Pec          ,  99.0 ,  SF/AGN ,   0.04 ,  11.98  ,   1.35 ,  -20.88 ,   2278 ,   37.7 
      NGC 0584   ,    22.83635,   -6.86806,       E4         ,  -5.0 ,  -      ,   0.04 ,  10.84  ,   1.68 ,  -20.67 ,   1802 ,   20.1 
      NGC 0628   ,    24.17396,   15.78364,       SAc        ,   5.0 ,  -      ,   0.10 ,  10.92  ,   1.16 ,  -18.39 ,    657 ,    7.3 
 NGC 0660        ,    25.75980,   13.64514,     SB(s)a       ,   1.0 ,  SF/AGN ,   0.07 ,  11.98  ,   1.50 ,  -18.59 ,    839 ,   13.0 
 III Zw 035      ,    26.12717,   17.10241,     Pec          ,   -   ,  SF/AGN ,   0.08 ,  15.17  ,   1.34 ,  -20.12 ,   8214 ,  114.0 
 NGC 0695        ,    27.80988,   22.58232,     S0           ,  -2.0 ,  SF     ,   0.10 ,  13.50  ,   1.03 ,  -22.16 ,   9743 ,  135.4 
 NGC 0750        ,    29.38624,   33.20750,     Pec          ,  -5.0 ,  -      ,   0.08 ,  12.80  ,   1.76 ,  -21.49 ,   5156 ,   72.1 
      NGC 0855   ,    33.51455,   27.87720,       E          ,  -5.0 ,  SF     ,   0.09 ,  12.52  ,   1.06 ,  -17.41 ,    592 ,    9.7 
 NGC 1068        ,    40.66969,   -0.01318,     (R)SA(rs)b   ,   3.0 ,  AGN    ,   0.05 ,   9.41  ,   1.17 ,  -21.67 ,   1139 ,   16.5 
 Arp 118         ,    43.79500,   -0.18000,     Pec          ,  -4.3 ,  SF/AGN ,   0.07 ,  12.79  ,   1.44 ,  -22.63 ,   8634 ,  119.9 
 NGC 1144        ,    43.80097,   -0.18352,     Pec          ,  -4.3 ,  SF     ,   0.07 ,  13.30  ,   1.30 ,  -22.11 ,   8634 ,  119.9 
 NGC 1275        ,    49.95060,   41.51165,     Pec          ,  99.0 ,  -      ,   0.20 ,  11.21  ,   1.15 ,  -23.14 ,   5276 ,   74.5 
 NGC 1614        ,    68.50016,   -8.57923,     SB(s)c       ,   5.0 ,  SF/AGN ,   0.14 ,  12.49  ,   1.02 ,  -21.64 ,   4766 ,   67.4 
